m_a_eV,dipole_cann1_D_0.15mm_GeVinv,dipole_cann1_D_1mm_GeVinv
1.321664183946603801e-05,1.069039370757747018e-09,1.041392490792096793e-10
1.336983741824945150e-05,1.057851005802443830e-09,1.031001489911805746e-10
1.352480870417873994e-05,1.046791246232341250e-09,1.020731199507067636e-10
1.368157627967470456e-05,1.035858622292101175e-09,1.010580256081280015e-10
1.384016096573130180e-05,1.025051681091407670e-09,1.000547312000437473e-10
1.400058382468096031e-05,1.014368986411515897e-09,9.906310353143658865e-11
1.416286616299197323e-05,1.003809118513993479e-09,9.808301095800728307e-11
1.432702953409829647e-05,9.933706739516735414e-10,9.711432336871344033e-11
1.449309574126214897e-05,9.830522653817243004e-10,9.615691216851452203e-11
1.466108684046983036e-05,9.728525213808562953e-10,9.521065026131719975e-11
1.483102514336102853e-05,9.627700862626542319e-10,9.427541203312083922e-11
1.500293322019216613e-05,9.528036198969455523e-10,9.335107333536026702e-11
1.517683390283403825e-05,9.429517975312415053e-10,9.243751146844359686e-11
1.535275028780421074e-05,9.332133096142496843e-10,9.153460516548269848e-11
1.553070573933458561e-05,9.235868616212962149e-10,9.064223457621510712e-11
1.571072389247448757e-05,9.140711738818289220e-10,8.976028125111410365e-11
1.589282865622976477e-05,9.046649814088188765e-10,8.888862812568506549e-11
1.607704421673822041e-05,8.953670337301113998e-10,8.802715950494709302e-11
1.626339504048190734e-05,8.861760947217118441e-10,8.717576104809637016e-11
1.645190587753660725e-05,8.770909424429212583e-10,8.633431975335010882e-11
1.664260176485901990e-05,8.681103689733822207e-10,8.550272394296911269e-11
1.683550802961200778e-05,8.592331802519549130e-10,8.468086324845631071e-11
1.703065029252842484e-05,8.504581959173918974e-10,8.386862859593027810e-11
1.722805447131392224e-05,8.417842491508704321e-10,8.306591219167039733e-11
1.742774678408917511e-05,8.332101865202674489e-10,8.227260750783387874e-11
1.762975375287203833e-05,8.247348678261902220e-10,8.148860926834040165e-11
1.783410220710006182e-05,8.163571659497764799e-10,8.071381343492371664e-11
1.804081928719380908e-05,8.080759667022077105e-10,7.994811719334940772e-11
1.824993244816150412e-05,7.998901686758993694e-10,7.919141893979407115e-11
1.846146946324545750e-05,7.917986830973805010e-10,7.844361826738734529e-11
1.867545842761074234e-05,7.838004336818688718e-10,7.770461595291277217e-11
1.889192776207664550e-05,7.758943564894184728e-10,7.697431394366666343e-11
1.911090621689135813e-05,7.680793997827419570e-10,7.625261534447341974e-11
1.933242287555043403e-05,7.603545238866156820e-10,7.553942440485483506e-11
1.955650715865946999e-05,7.527187010488668379e-10,7.483464650635206735e-11
1.978318882784162123e-05,7.451709153029055419e-10,7.413818814999924199e-11
2.001249798969034841e-05,7.377101623318471882e-10,7.344995694394586998e-11
2.024446509976801623e-05,7.303354493341195863e-10,7.276986159122724109e-11
2.047912096665083489e-05,7.230457948905829100e-10,7.209781187768095659e-11
2.071649675602066959e-05,7.158402288331547007e-10,7.143371866000811509e-11
2.095662399480430758e-05,7.087177921149132504e-10,7.077749385397714836e-11
2.119953457536068761e-05,7.016775366816129805e-10,7.012905042276960905e-11
2.144526075971665420e-05,6.947185253446896779e-10,6.948830236546541586e-11
2.169383518385182289e-05,6.878398316556463974e-10,6.885516470566657402e-11
2.194529086203311546e-05,6.810405397818653215e-10,6.822955348025822055e-11
2.219966119119952429e-05,6.743197443837859145e-10,6.761138572830439662e-11
2.245697995539771554e-05,6.676765504934678815e-10,6.700057948007815927e-11
2.271728133026902697e-05,6.611100733944976745e-10,6.639705374622430041e-11
2.298059988758848710e-05,6.546194385032377200e-10,6.580072850705294137e-11
2.324697059985645546e-05,6.482037812513802138e-10,6.521152470196299480e-11
2.351642884494346329e-05,6.418622469698241980e-10,6.462936421899372323e-11
2.378901041078890856e-05,6.355939907738248413e-10,6.405416988450351543e-11
2.406475150015421866e-05,6.293981774494291925e-10,6.348586545297413574e-11
2.434368873543108034e-05,6.232739813411446399e-10,6.292437559693902460e-11
2.462585916350544169e-05,6.172205862408804013e-10,6.236962589703492660e-11
2.491130026067785879e-05,6.112371852780932858e-10,6.182154283217495893e-11
2.520004993764089510e-05,6.053229808111457920e-10,6.128005376984193126e-11
2.549214654451420375e-05,5.994771843198624811e-10,6.074508695650124488e-11
2.578762887593798400e-05,5.936990162992866923e-10,6.021657150813092836e-11
2.608653617622545218e-05,5.879877061545682204e-10,5.969443740086905537e-11
2.638890814457507585e-05,5.823424920970313810e-10,5.917861546177607593e-11
2.669478494034318111e-05,5.767626210413777599e-10,5.866903735971145367e-11
